step,epoch,loss,learning_rate,grad_norm,rewards/format_reward,rewards/cosine_scaled_reward,reward,reward_std,gpu_mem_alloc_mb,gpu_mem_peak_mb,step_time_sec
87,0.0497,2.09808349609375e-05,2.4889122713851397e-06,,0.0,-0.47007501125335693,-0.9401500076055527,0.04285714589059353,3654.5,6138.0,368.87
88,0.0503,2.3573637008666992e-05,2.374037332934512e-06,,0.0,-0.41688134521245956,-0.8337626904249191,0.24908871483057737,3654.4,6138.0,360.15
89,0.0509,2.3312866687774658e-05,2.262970898476071e-06,,0.0,-0.4709980934858322,-0.9419961720705032,0.06526243314146996,3654.5,6138.0,355.62
90,0.0514,2.16066837310791e-05,2.1558482853517257e-06,,0.0,-0.47104664146900177,-0.9420932680368423,0.05442978721112013,3654.4,6138.0,359.25
91,0.052,2.3186206817626953e-05,2.0528000059646e-06,,0.0,-0.42244888097047806,-0.8448977470397949,0.17764843348413706,3654.4,6138.0,357.58
92,0.0526,2.4143606424331665e-05,1.953951608769752e-06,,0.0,-0.43437784910202026,-0.8687557131052017,0.13139949878677726,3654.5,6138.0,360.98
93,0.0531,1.7457641661167145e-05,1.8594235253127373e-06,,0.0,-0.4726478382945061,-0.9452957063913345,0.044932478107512,3654.4,6138.0,359.65
94,0.0537,2.3424625396728516e-05,1.769330923502313e-06,,0.0,-0.48662828654050827,-0.9732565432786942,0.023667596746236086,3654.4,6138.0,357.33
95,0.0543,2.664327621459961e-05,1.6837835672960834e-06,,0.0,-0.41473422944545746,-0.8294684588909149,0.21260959655046463,3654.4,6138.0,360.81
96,0.0549,2.310052514076233e-05,1.602885682970026e-06,,0.0,-0.4408787190914154,-0.8817574381828308,0.14791762363165617,3654.4,6138.0,359.17
97,0.0554,1.5437602996826172e-05,1.526735832134829e-06,,0.0,-0.46087589859962463,-0.9217518121004105,0.05548063712194562,3654.5,6138.0,357.98
98,0.056,2.017989754676819e-05,1.4554267916537495e-06,,0.0,-0.4707222431898117,-0.9414444863796234,0.057337059173732996,3654.4,6138.0,359.07
99,0.0566,1.6748905181884766e-05,1.389045440608296e-06,,0.0,-0.43424008786678314,-0.8684801608324051,0.18490357510745525,3654.4,6138.0,357.48
100,0.0571,2.2009015083312988e-05,1.3276726544494572e-06,,0.0,-0.44838932156562805,-0.8967786431312561,0.12791539868339896,3654.4,6138.0,358.57
100,0.0571,,,,,,,,3654.4,6138.0,362.18
